,Player,Pos,Age,Tm,G,MP,GS,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS.,X3PAr,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,Fast.Break.Pts,Points.In.Paint,Points.off.TO,X2nd.Chance.PTS,Points.scored.per.shot,MPG,A2TO
326,Malcolm Delaney,PG,28,ATL,54,1014,3,3.9,10.1,0.382,1.6,4.4,0.371,2.2,5.7,0.391,2.6,3.3,0.804,0.3,3.2,3.6,5.8,1.2,0.2,2.3,2.9,12,10.6,0.519,0.435,0.323,1,10,5.5,23.4,1.7,0.5,16.9,16.9,0.4,0.6,1,0.047,-2,-1.5,-3.6,-0.4,0.67,1.15,1.15,0.41,1.186,18.77777778,2.52173913
327,Malcolm Miller,SF,24,TOR,15,126,4,3.7,8,0.464,2.3,6,0.381,1.4,2,0.714,1.1,1.1,1,1.1,3.1,4.3,0.9,0.3,0.6,1.4,2.9,10.9,8.9,0.638,0.75,0.143,3.6,9.6,6.7,3.2,0.4,1.3,14.4,12.1,0.1,0.1,0.2,0.087,-0.5,-1.5,-2,0,0,0.77,0.23,0.23,1.4,8.4,0.642857143
328,Malik Beasley,SG,21,DEN,62,583,0,4.5,11,0.41,1.7,5.1,0.341,2.8,5.9,0.469,1.4,2,0.667,0.9,3.5,4.4,1.9,0.9,0.4,1.5,2.2,12.1,9,0.509,0.461,0.185,2.7,11,6.9,7.4,1.3,1,11.1,16.2,0.1,0.3,0.3,0.028,-2.8,-2.4,-5.1,-0.5,0.6,1.26,0.81,0.49,1.069,9.403225806,1.266666667
329,Malik Monk,SG,19,CHO,63,854,0,6.4,17.9,0.36,3.5,10.2,0.342,3,7.7,0.385,1.3,1.6,0.842,0.3,2.4,2.8,3.8,0.8,0.4,2.1,2.5,17.7,10.3,0.477,0.572,0.089,1,7.5,4.2,16.9,1.1,0.9,9.8,24.9,-0.5,0.5,0,0.001,-1,-3.4,-4.4,-0.5,0.52,1,0.72,0.46,0.885,13.55555556,1.80952381
330,Mangok Mathiang,C,25,CHO,4,20,0,7.2,12.6,0.571,0,0,NA,7.2,12.6,0.571,0,1.8,0,5.4,12.6,18,0,1.8,0,0,9,14.4,18,0.538,0,0.143,16,38.5,27.1,0,2.4,0,0,16.1,0,0,0.1,0.183,-4.1,-5.7,-9.8,0,0,0,0,0,0,5,NA
331,Manu Ginobili,SG,40,SAS,65,1299,0,5.6,12.8,0.434,1.8,5.3,0.333,3.8,7.5,0.506,3,3.6,0.84,0.5,3.4,3.9,4.5,1.2,0.4,2.9,3.5,16,12.9,0.553,0.415,0.283,1.6,10.6,6.1,19.1,1.7,1,16.8,21.5,0.6,1.6,2.2,0.082,-0.5,-0.5,-1,0.3,0.75,3.7,1.72,0.64,1.225,19.98461538,1.551724138
332,Marc Gasol,C,33,MEM,73,2408,73,6.5,15.4,0.42,1.6,4.8,0.341,4.9,10.7,0.456,4.2,5,0.834,1.2,7.7,8.9,4.6,0.8,1.5,2.9,2.8,18.8,17.4,0.532,0.31,0.326,3.7,25.3,14.2,21.7,1.1,3.9,14.1,25.6,1.5,2.6,4,0.08,-0.1,1.6,1.5,2.1,0.48,5.91,2.44,1.72,1.22,32.98630137,1.586206897
333,Marcin Gortat,C,33,WAS,82,2075,82,5,9.7,0.518,0,0,NA,5,9.7,0.518,1.9,2.8,0.675,3.1,7.7,10.8,2.6,0.7,1.1,1.7,3,12,14.7,0.546,0,0.291,9.9,24,17,10.6,1,2.6,13.5,15.5,2.4,2.4,4.9,0.113,-1.6,1.9,0.3,1.2,0.33,6.12,0.84,1.23,1.215,25.30487805,1.529411765
334,Marco Belinelli,SG,31,TOT,80,1947,2,6.2,14.1,0.441,2.8,7.3,0.377,3.5,6.8,0.509,2.7,3,0.908,0.4,2.4,2.8,2.7,1.2,0.2,1.7,1.7,18,14.1,0.581,0.517,0.213,1.1,7.3,4.2,11.9,1.6,0.5,10.1,20.7,2.4,1.3,3.7,0.092,0.8,-2.1,-1.3,0.3,0.63,2.09,1.88,1.15,1.224,24.3375,1.588235294
335,Marcus Georges-Hunt,SG,23,MIN,42,224,0,3.4,7.7,0.438,0.6,2.4,0.267,2.7,5.3,0.515,2.1,3.4,0.619,1.1,1.4,2.6,1.1,1,0,0.5,5.1,9.5,6.9,0.515,0.313,0.438,3.6,4.7,4.1,4.1,1.3,0,5,11.9,0.2,0,0.2,0.049,-1.7,-2.7,-4.4,-0.1,0.24,0.68,0.29,0.16,1.071,5.333333333,2.2
336,Marcus Morris,PF,28,BOS,54,1447,21,6.5,15.2,0.429,2.1,5.8,0.368,4.4,9.4,0.467,3.1,3.8,0.805,1.1,6.1,7.2,1.8,0.9,0.3,1.6,2.5,18.3,14.5,0.541,0.383,0.252,3.3,18.4,10.9,8.1,1.2,0.7,8.7,23,1.1,2.2,3.2,0.108,-1,-0.6,-1.7,0.1,0.89,3.23,1.84,1.68,1.164,26.7962963,1.125
337,Marcus Paige,PG,24,CHO,5,28,0,5.1,18,0.286,2.6,10.3,0.25,2.6,7.7,0.333,2.6,2.6,1,0,5.1,5.1,3.9,0,0,0,0,15.4,9.1,0.403,0.571,0.143,0,15.7,7.7,16.1,0,0,0,23,0,0,0,-0.006,-2.4,-4.4,-6.9,0,0,0,0,0,0,5.6,Inf
338,Marcus Smart,SG,23,BOS,54,1614,11,4.2,11.5,0.367,1.7,5.6,0.301,2.5,5.9,0.429,2.2,3,0.729,1,3.3,4.2,5.8,1.6,0.5,2.9,3,12.3,10.8,0.479,0.483,0.258,3,9.8,6.4,23.7,2.2,1.2,18.4,19.4,-0.6,2.5,1.9,0.056,-1.6,1.1,-0.5,0.6,0.5,3.3,1.44,1,1.068,29.88888889,2
339,Mario Chalmers,PG,31,MEM,66,1421,10,4.3,11.2,0.379,1.3,4.8,0.277,2.9,6.4,0.456,3,3.5,0.855,0.3,3.6,4,5,2,0.4,3,4.5,12.8,10.4,0.503,0.431,0.312,1,12,6.4,21.5,2.8,0.9,18.8,19.6,-0.6,1.3,0.6,0.021,-2.2,-0.5,-2.7,-0.3,1.02,2.82,1.64,0.41,1.119,21.53030303,1.666666667
340,Mario Hezonja,SF,22,ORL,75,1657,30,5.9,13.4,0.442,2,5.8,0.337,4,7.6,0.523,1.9,2.3,0.819,0.9,5.2,6.1,2.3,1.8,0.7,1.9,2.9,15.7,13.7,0.544,0.433,0.17,2.7,16.1,9.3,10,2.4,1.5,11.5,19.9,0.5,1.8,2.3,0.066,-1,0.2,-0.8,0.5,1.56,3.71,1.58,0.58,1.173,22.09333333,1.210526316
341,Markel Brown,SG,26,HOU,4,31,0,2.3,8.1,0.286,1.2,5.8,0.2,1.2,2.3,0.5,0,0,NA,1.2,4.6,5.8,2.3,0,0,2.3,7,5.8,-1.2,0.357,0.714,0,3.7,14.4,9.1,8.7,0,0,22.2,12.8,-0.1,0,0,-0.063,-6.7,-1.7,-8.4,-0.1,0,0,0,0,0.714,7.75,1
342,Markelle Fultz,SG,19,PHI,14,253,0,6.4,15.8,0.405,0,0.1,0,6.4,15.7,0.409,1.4,3,0.476,1.6,4.6,6.1,7.5,1.7,0.6,2.4,3.1,14.2,12.4,0.416,0.009,0.189,4.9,13.1,9.2,31.3,2.3,1.3,12.4,23.1,-0.2,0.4,0.2,0.043,-3.8,0.8,-3,-0.1,0.5,4,0,1,0.889,18.07142857,3.125
343,Markieff Morris,PF,28,WAS,73,1968,73,6,12.6,0.48,1.4,3.8,0.367,4.6,8.8,0.529,1.9,2.3,0.82,1.4,6.1,7.5,2.6,1,0.7,2.3,4,15.4,13.2,0.566,0.301,0.186,4.3,19.2,11.8,11,1.4,1.7,14.6,19.5,1.2,2.1,3.3,0.08,-1,0.5,-0.5,0.7,0.77,4.33,1.08,1.33,1.244,26.95890411,1.130434783
344,Marquese Chriss,PF,20,PHO,72,1527,49,4.8,11.2,0.423,1.3,4.5,0.295,3.4,6.8,0.509,2.3,3.7,0.608,1.8,7.5,9.3,2,1.2,1.7,2.5,4.8,13.1,11.1,0.509,0.398,0.331,5.2,22.7,13.8,8.1,1.6,3.7,16.4,18.1,-0.8,1.5,0.7,0.023,-3.3,1.3,-2,0,0.82,2.9,1,0.95,1.117,21.20833333,0.8
345,Marreese Speights,C,30,ORL,52,675,3,7.4,18.6,0.395,4.6,12.4,0.369,2.8,6.2,0.448,2.1,2.9,0.727,1.1,6,7.1,2.1,0.4,1.2,2.1,5.7,21.4,13.7,0.539,0.668,0.158,3.4,18.4,10.8,9.8,0.6,2.6,9.7,26.9,0.1,0.5,0.6,0.045,0.2,-2.9,-2.8,-0.1,0.45,1.27,0.69,0.43,1.149,12.98076923,1
346,Marshall Plumlee,C,25,MIL,8,52,0,0.7,2.1,0.333,0,0,NA,0.7,2.1,0.333,8.3,11.1,0.75,2.8,9,11.8,1.4,0,0.7,2.1,6.9,9.7,10.9,0.697,0,5.333,9,29.2,19.2,4.8,0,1.6,23,11.3,0.1,0,0.2,0.143,-3.7,-1.9,-5.7,0,0.57,0.29,0.86,0.29,4.666,6.5,0.666666667
347,Marvin Williams,PF,31,CHO,78,2006,78,4.6,10.1,0.458,2.3,5.5,0.413,2.4,4.6,0.512,1.8,2.2,0.829,1.3,5.3,6.6,1.7,1,0.7,1.2,2.1,13.4,13.9,0.603,0.542,0.218,3.9,16.2,10,7,1.4,1.6,9.7,14.8,3.1,1.9,5,0.119,1.1,0.5,1.7,1.9,0.95,2.89,1.37,1.12,1.308,25.71794872,1.416666667
348,Mason Plumlee,C,27,DEN,74,1439,26,5.5,9.2,0.601,0,0,0,5.5,9.2,0.602,2.1,4.5,0.458,3.3,6.7,10,3.6,1.2,2,2.6,4.6,13.1,16.9,0.586,0.003,0.486,10.4,20.9,15.6,14.4,1.7,4.7,18.7,16.6,1.8,1.8,3.6,0.12,-0.9,2.7,1.8,1.4,0.57,6.16,1.1,1.3,1.404,19.44594595,1.384615385
349,Matt Costello,C,24,SAS,4,32,0,2.3,4.5,0.5,0,0,NA,2.3,4.5,0.5,0,0,NA,1.1,9,10.1,2.3,2.3,2.3,1.1,7.9,4.5,9.7,0.5,0,0,3.4,27.9,15.6,8.3,3.2,5.2,20,7,0,0.1,0.1,0.127,-5,6.6,1.6,0,0,1,0.5,0,1,8,2.090909091
350,Matt Williams,SG,24,MIA,3,11,0,6.5,19.6,0.333,3.3,16.4,0.2,3.3,3.3,1,0,0,NA,0,3.3,3.3,0,0,0,3.3,3.3,16.4,-0.7,0.417,0.833,0,0,10.2,5.1,0,0,0,14.3,28.6,-0.1,0,0,-0.197,-8.5,-8.6,-17.1,0,0,0,0,0,0.833,3.666666667,0
351,Matthew Dellavedova,PG,27,MIL,38,712,3,2.8,7.7,0.362,1.5,3.9,0.372,1.3,3.7,0.351,1.3,1.4,0.926,0.7,2.5,3.2,7.3,0.7,0,2.5,3.4,8.3,8.6,0.5,0.513,0.178,2.3,8.2,5.3,27.4,1,0,23,13.5,0.3,0.2,0.5,0.032,-2.3,-3.6,-5.9,-0.7,0.32,1.14,0.51,0.27,1.087,18.73684211,2.92
352,Maurice Harkless,SF,24,POR,59,1264,36,4.2,8.5,0.495,1.4,3.4,0.415,2.8,5.1,0.547,1.2,1.7,0.712,1.3,3.3,4.6,1.5,1.4,1.2,1.1,2.9,11,12.6,0.596,0.397,0.199,4,9.9,7,6,1.9,2.8,11,12.6,1.6,1.7,3.2,0.123,-0.2,2,1.8,1.2,0.67,2.96,1.02,1.15,1.218,21.42372881,1.363636364
353,Maxi Kleber,PF,26,DAL,72,1206,36,4.5,9.2,0.489,1.2,3.8,0.313,3.3,5.4,0.613,1.3,1.8,0.746,2.1,4.9,7,1.5,0.8,1.4,0.9,3.4,11.5,13.4,0.576,0.414,0.191,6.3,15.6,10.8,6.4,1.1,3.5,8.2,13.7,1.6,1.2,2.8,0.113,-1,1.2,0.2,0.7,0.24,2.83,0.69,0.55,1.181,16.75,1.666666667
354,Meyers Leonard,C,25,POR,33,254,2,6.5,11.1,0.59,1.6,3.7,0.423,5,7.4,0.673,1.3,1.6,0.818,1.7,8.2,9.9,2.4,1,0,1.4,5.1,15.9,17.8,0.676,0.333,0.141,5.2,24.7,15,10.6,1.4,0,10.8,16.1,0.7,0.3,1.1,0.2,1.2,-0.2,0.9,0.2,0.08,1.28,0.2,0.56,1.441,7.696969697,1.714285714
355,Michael Beasley,PF,29,NYK,74,1653,30,8.9,17.6,0.507,0.7,1.9,0.395,8.2,15.7,0.52,2.7,3.5,0.78,2.1,6.9,9,2.7,0.8,0.9,3.1,3.2,21.3,17.8,0.556,0.107,0.197,6.5,21.2,13.9,12.5,1.1,2.3,14,26.9,0.9,1.5,2.4,0.069,-1,-0.4,-1.5,0.2,0.74,7.97,1.5,1.53,1.206,22.33783784,0.870967742
356,Michael Carter-Williams,PG,26,CHO,52,835,2,3.3,9.9,0.332,0.6,2.5,0.237,2.7,7.3,0.365,3.1,3.8,0.82,1.6,4.4,5.9,5,1.9,1,2.2,4.3,10.3,10.8,0.446,0.258,0.389,4.7,13.3,8.9,19.4,2.6,2.3,16.2,16.6,-0.2,1.1,0.9,0.05,-2.6,2,-0.6,0.3,0.35,2.08,0.65,0.42,1.044,16.05769231,2.272727273
357,Michael Kidd-Gilchrist,SF,24,CHO,74,1850,74,5.5,10.9,0.504,0,0,0,5.5,10.9,0.505,2.3,3.3,0.684,1.6,4.2,5.9,1.4,1,0.6,1,2.8,13.3,12.5,0.536,0.004,0.305,4.8,13,8.8,5.9,1.3,1.4,7.8,16.2,1.6,1.6,3.2,0.084,-2,0.3,-1.8,0.1,1.52,5.8,1.74,0.98,1.222,25,1.4
358,Mike Conley,PG,30,MEM,12,373,12,6.2,16.2,0.381,2.3,7.4,0.312,3.9,8.8,0.44,5.1,6.4,0.803,0,2.6,2.6,4.7,1.2,0.3,1.7,2.3,19.8,15.4,0.52,0.458,0.393,0,8.6,4.2,22.2,1.6,0.8,8.4,25.9,0.4,0.2,0.6,0.077,1.2,-3.5,-2.3,0,1.67,5.83,1.92,0.75,1.22,31.08333333,2.764705882
359,Mike James,PG,27,TOT,36,687,10,6.4,16.8,0.383,1.4,5.1,0.265,5.1,11.7,0.435,3.4,4.4,0.762,0.7,4,4.7,6.6,1.5,0.4,2.6,2.5,17.6,13.9,0.469,0.305,0.262,2,12.2,7,29.4,2,0.8,12,25.1,-0.1,0.3,0.2,0.017,-0.9,-1.8,-2.6,-0.1,0.89,4.39,1.97,0.47,1.05,19.08333333,2.538461538
360,Mike Muscala,C,26,ATL,53,1060,7,4.9,10.6,0.458,2.1,5.7,0.371,2.8,4.9,0.559,1.9,2.1,0.919,1.9,5.9,7.8,1.7,1.1,0.9,1.4,2.7,13.8,14.4,0.597,0.535,0.199,5.9,18.3,12.1,7.3,1.4,2.2,11,15.7,1.5,0.9,2.4,0.11,0,0.2,0.2,0.6,0.3,2.45,1.15,1.73,1.332,20,1.214285714
361,Mike Scott,PF,29,WAS,76,1406,1,7.1,13.4,0.527,1.7,4.2,0.405,5.4,9.2,0.582,1.3,1.9,0.658,1.3,5,6.3,2,0.6,0.3,2,3.8,17.1,13.7,0.599,0.311,0.145,4,15.8,9.9,9.1,0.8,0.6,12.4,20,1.4,1,2.5,0.085,-0.5,-1.8,-2.3,-0.1,0.36,3.16,1.23,0.88,1.306,18.5,1
362,Miles Plumlee,C,29,ATL,55,918,35,4.1,7.1,0.583,0,0,NA,4.1,7.1,0.583,1.1,2.4,0.45,3,5.9,8.9,1.8,0.7,1.2,2.5,3.1,9.3,10.6,0.574,0,0.333,9.4,18.3,13.9,7.2,0.9,2.8,23.4,12.8,0.1,0.7,0.9,0.046,-3.8,1.3,-2.5,-0.1,0.22,3.87,0.72,0.93,1.303,16.69090909,0.72
363,Milos Teodosic,PG,30,LAC,45,1134,36,4.8,11.4,0.419,2.8,7.4,0.379,2,4.1,0.492,1.2,1.5,0.848,0.5,3.5,4,6.6,0.7,0.2,3.1,3.3,13.6,11.6,0.564,0.644,0.128,1.6,10.5,6.1,26.2,1,0.4,20.3,18.2,0.9,0.5,1.4,0.058,0.8,-2.2,-1.4,0.2,0.5,1.21,0.89,0.61,1.141,25.2,2.129032258
364,Milton Doyle,SG,24,BRK,10,125,0,3.7,13.5,0.277,1.2,6.6,0.174,2.6,6.9,0.375,1.2,2.3,0.5,0.9,4.3,5.2,2.9,1.7,0.6,0.6,3.7,9.8,5.2,0.337,0.489,0.17,2.5,12.9,7.6,11.7,2.3,1.2,3.8,18.2,-0.3,0.1,-0.1,-0.052,-5.2,-0.6,-5.8,-0.1,1.17,1.67,0.33,0,0.72,12.5,4.833333333
365,Mindaugas Kuzminskas,SF,28,NYK,1,2,0,0,36,0,0,0,NA,0,36,0,0,0,NA,0,0,0,0,0,0,0,0,0,-41.1,0,0,0,0,0,0,0,0,0,0,43.6,0,0,0,-1.065,-36.6,-12.7,-49.3,0,0,0,0,0,0,2,NA
366,Mirza Teletovic,PF,32,MIL,10,159,0,5.7,12.9,0.439,4.8,10.2,0.467,0.9,2.7,0.333,0,0,NA,0.7,4.5,5.2,2.3,0.9,0.2,1.6,3.2,16.1,13.5,0.623,0.789,0,2.2,14.7,8.5,9.5,1.3,0.5,10.9,18.2,0.2,0.1,0.3,0.09,1.6,-3.3,-1.6,0,0.3,0.4,0.3,0,1.246,15.9,1.4375
367,Monte Morris,PG,22,DEN,3,25,0,5.8,8.6,0.667,0,1.4,0,5.8,7.2,0.8,2.9,2.9,1,0,2.9,2.9,10.1,4.3,0,1.4,1.4,14.4,27.1,0.727,0.167,0.333,0,9,4.5,41.2,5.9,0,12.7,13.7,0.1,0,0.2,0.312,3.6,-1.6,2,0,0.67,2.67,0.67,0,1.667,8.333333333,7.214285714
368,Montrezl Harrell,C,24,LAC,76,1293,3,9.7,15.3,0.635,0,0.2,0.143,9.7,15.1,0.641,3.9,6.2,0.626,2.9,5.7,8.5,2.1,1,1.4,1.9,4,23.3,24.7,0.647,0.013,0.405,8.9,17,13,10.1,1.4,3.4,9.5,23.8,4.3,1.3,5.5,0.205,2.4,0,2.4,1.5,2.15,8.26,1.72,1.51,1.557,17.01315789,1.105263158
369,Myke Henry,SF,25,MEM,20,378,0,3.9,10.4,0.376,1.8,5.5,0.328,2.1,4.9,0.431,0.6,1,0.6,1,2.7,3.6,2.1,3,0.6,1.8,2.7,10.2,9.7,0.472,0.532,0.092,3,8.8,5.8,8.9,4.1,1.5,14.4,15.7,-0.3,0.4,0.1,0.017,-2.3,1.1,-1.3,0.1,0.53,2,1.2,0.67,1.038,18.9,1.166666667
370,Myles Turner,C,21,IND,65,1836,62,6,12.5,0.479,1.1,3.1,0.357,4.9,9.5,0.519,3.1,4,0.777,1.8,6.4,8.2,1.7,0.7,2.3,1.9,3.6,16.2,16.6,0.567,0.246,0.322,5.8,19.8,12.8,7,1,5.7,11.6,20,2.2,2.5,4.7,0.122,-1.1,1.8,0.7,1.3,0.68,4.38,1.75,1.66,1.36,28.24615385,0.894736842
371,Nate Wolters,PG,26,UTA,5,19,0,1.9,11.4,0.167,0,0,NA,1.9,11.4,0.167,0,0,NA,1.9,1.9,3.8,1.9,0,0,0,1.9,3.8,-2.9,0.167,0,0,6,5.9,6,7.1,0,0,0,14.2,-0.1,0,-0.1,-0.137,-10.3,-2.1,-12.4,0,0,0.4,0,0,0.333,3.8,Inf
372,Nemanja Bjelica,PF,29,MIN,67,1371,21,4.5,9.7,0.461,2,4.8,0.415,2.5,4.9,0.505,0.9,1.2,0.8,1.4,5.8,7.2,2.3,1.3,0.4,1.4,3.7,11.9,12.6,0.581,0.493,0.121,4.4,18.8,11.5,8.7,1.8,1,11.7,14.3,1.7,1.1,2.8,0.097,0.6,-0.1,0.5,0.9,0.67,2.74,1.09,0.93,1.302,20.46268657,1.642857143
373,Nene,C,35,HOU,52,758,4,6.5,11.4,0.569,0,0.1,0,6.5,11.3,0.574,3.2,5.1,0.636,2.6,5.8,8.4,2.1,1.3,0.7,1.8,5.8,16.1,16.4,0.594,0.008,0.448,8.1,18,13.1,9.5,1.8,1.6,11.7,18.9,1.5,1.1,2.6,0.163,-1.5,0.7,-0.8,0.2,0.36,4.77,0.81,0.89,1.454,14.57692308,1.166666667
374,Nerlens Noel,C,23,DAL,30,472,6,4.2,8,0.524,0,0.1,0,4.2,7.9,0.529,1.6,2.1,0.75,3.7,9.2,12.8,1.5,2.4,1.7,2,4.5,10,16.2,0.558,0.01,0.267,10.9,29.3,19.8,6.3,3.3,4.1,18.1,13.8,0.4,1,1.3,0.135,-3.5,4.5,1,0.4,0.09,3.39,1,0.65,1.205,15.73333333,0.75
375,Nick Collison,PF,37,OKC,15,75,0,6.2,9.1,0.684,0,0,NA,6.2,9.1,0.684,2.4,6.2,0.385,3.4,6.2,9.6,1.9,0,0,3.4,3.4,14.9,13.2,0.627,0,0.684,10,19.9,14.8,8.2,0,0,22.1,18.2,0.1,0,0.1,0.064,-3.5,-2.9,-6.5,-0.1,0.15,2,0,0.31,1.579,5,0.558823529
376,Nick Young,SG,32,GSW,80,1393,8,5.2,12.6,0.412,3.2,8.4,0.377,2,4.2,0.481,1.4,1.7,0.862,0.5,2.7,3.2,0.9,1,0.2,1,2.6,15,10,0.562,0.668,0.133,1.7,7.9,5,3.5,1.3,0.4,7.2,17.6,0.8,0.9,1.7,0.058,-0.2,-3.4,-3.7,-0.6,1.45,1,0.89,0.44,1.238,17.4125,0.9
377,Nicolas Batum,SG,29,CHO,64,1981,64,4.9,11.8,0.415,1.7,5,0.336,3.2,6.8,0.473,2,2.4,0.831,1,4.5,5.6,6.3,1.2,0.4,2.4,1.3,13.4,14.4,0.523,0.422,0.2,3.1,13.8,8.4,26.2,1.6,1,15.6,18.3,1.7,1.8,3.5,0.084,0.9,0.5,1.4,1.7,0.78,2.84,1.85,1.2,1.138,30.953125,2.625
378,Nicolas Brussino,SF,24,ATL,4,10,0,0,7.2,0,0,7.2,0,0,0,NA,0,0,NA,0,10.8,10.8,0,0,0,0,0,0,-4.6,0,1,0,0,33.5,16.7,0,0,0,0,8.7,0,0,0,-0.18,-13.8,-4.7,-18.5,0,0,0,0,0,0,2.5,NA
379,Nigel Hayes,SF,23,TOT,9,122,0,3.2,9.7,0.333,1.2,4.7,0.25,2.1,5,0.412,0.3,0.9,0.333,1.2,5.3,6.5,1.8,0.6,0.9,0.6,2.4,8,6.4,0.393,0.485,0.091,3.6,17.5,10.3,6.7,0.8,2.3,5.5,13.3,-0.2,0.1,-0.1,-0.034,-5.1,-1.3,-6.4,-0.1,0,0.5,0.75,0,1.8,13.55555556,3
380,Nik Stauskas,SG,24,TOT,41,523,0,4.1,10.6,0.39,2.8,6.9,0.4,1.4,3.7,0.37,1.4,2,0.724,0.3,4.1,4.4,2.7,0.6,0.3,1.8,1.7,12.5,9,0.543,0.649,0.188,0.8,12.3,6.5,11.1,0.8,0.6,13.5,15.9,0.1,0.3,0.3,0.031,-2.1,-1.8,-4,-0.3,0.37,0.57,0.51,0.34,1.183,12.75609756,1.5
381,Nikola Jokic,C,22,DEN,75,2443,73,7.4,14.9,0.499,1.6,4.1,0.396,5.8,10.8,0.538,3.9,4.6,0.85,2.9,9,11.8,6.7,1.3,0.9,3.1,3.1,20.4,24.4,0.603,0.277,0.31,9,27.9,18.5,29.6,1.8,2.1,15.5,24.2,7.8,2.9,10.7,0.211,4.8,2.3,7.1,5.6,0.79,7.58,1.92,2.82,1.389,32.57333333,2.161290323
382,Nikola Mirotic,PF,26,TOT,55,1494,14,7.4,16.5,0.447,3.3,8.6,0.377,4.1,7.9,0.525,2.7,3.3,0.818,1.4,8.3,9.8,1.9,1.1,0.9,1.5,2.6,20.7,18.7,0.577,0.523,0.2,4.3,24.9,14.6,8.6,1.4,2.2,7.7,23.4,2.2,1.8,4,0.128,1.4,-0.7,0.6,1,1.9,4.43,1.9,1.9,1.268,27.16363636,1.266666667
383,Nikola Vucevic,C,27,ORL,57,1683,57,8.5,18,0.475,1.4,4.4,0.314,7.2,13.6,0.527,1.6,2,0.819,2.2,9,11.2,4.1,1.2,1.3,2.3,3.1,20.1,19.7,0.533,0.243,0.112,6.6,27.8,17.1,19.9,1.6,3,11,25.9,1.3,2.3,3.6,0.102,0.6,2.1,2.7,2,1.35,8.48,2.33,2.04,1.176,29.52631579,1.782608696
384,Noah Vonleh,PF,22,TOT,54,875,16,4.3,9.6,0.444,0.8,2.7,0.303,3.5,6.9,0.5,1.5,2.4,0.621,2.9,9.9,12.8,1.4,0.8,0.7,1.3,2.8,10.9,12.8,0.509,0.282,0.248,8.5,30.2,19.2,5.7,1.1,1.6,10.7,14.5,0.5,1.2,1.6,0.09,-3.4,0.3,-3.1,-0.2,0.09,2.18,0.4,0.96,1.151,16.2037037,1.076923077
385,Norman Powell,SG,24,TOR,70,1062,18,5.1,12.7,0.401,1.8,6.3,0.285,3.3,6.4,0.516,1.1,1.3,0.821,0.5,3.6,4,3,1.3,0.5,2.2,3.8,13.1,8.5,0.492,0.497,0.104,1.5,10.9,6.3,11.8,1.7,1.2,14.4,18.9,-0.6,1.2,0.6,0.027,-2.5,-0.4,-2.8,-0.2,1.16,2.66,1.22,0.55,1.034,15.17142857,1.363636364
386,OG Anunoby,SF,20,TOR,74,1481,62,4,8.4,0.471,1.8,4.8,0.371,2.2,3.6,0.604,0.9,1.5,0.629,1.1,3.4,4.5,1.3,1.3,0.3,1.1,3.2,10.6,10,0.587,0.569,0.179,3.4,10.4,7,5,1.7,0.8,10.8,12.4,1.4,1.6,3,0.098,0.2,0.4,0.6,1,0.93,2.33,1.22,0.72,1.233,20.01351351,1.181818182
387,Okaro White,PF,25,MIA,6,80,4,3.2,7.2,0.438,1.8,5,0.364,1.4,2.3,0.6,0.9,1.4,0.667,1.4,3.6,5,0.9,0.5,0.5,0.5,2.7,9,8.9,0.577,0.688,0.188,4.2,11.2,7.7,3.5,0.6,1.1,5.5,10.3,0.1,0.1,0.2,0.096,-1.5,-1.3,-2.9,0,0.5,0.67,1.17,0.83,1.25,13.33333333,1.8
388,Omer Asik,C,31,TOT,18,182,0,1.8,4.4,0.409,0,0,NA,1.8,4.4,0.409,0.8,2.6,0.308,1.8,7.5,9.3,0.6,0.4,0.8,1.8,4,4.4,3.1,0.397,0,0.591,5.5,22.2,14,2.1,0.5,1.9,24.5,8.7,-0.2,0.2,-0.1,-0.021,-8.1,0,-8.1,-0.3,0,0.71,0.21,0.29,1.125,10.11111111,0.333333333
389,Omri Casspi,SF,29,GSW,53,740,7,5.8,10.1,0.58,0.5,1.1,0.455,5.4,9,0.595,2.4,3.4,0.725,1.5,8.3,9.7,2.5,0.9,0.9,1.8,3.5,14.6,15.5,0.632,0.106,0.333,4.9,24,15.1,9.5,1.2,2,13.5,16.3,1.2,1,2.2,0.14,-1.5,0,-1.4,0.1,1.04,3.76,1.33,0.82,1.462,13.96226415,1.388888889
390,Otto Porter,SF,24,WAS,77,2432,77,6.6,13.1,0.503,2,4.6,0.441,4.5,8.5,0.537,1.6,1.9,0.828,1.5,5.8,7.3,2.3,1.7,0.6,1.1,2.2,16.8,18.3,0.602,0.354,0.145,4.8,18.1,11.4,10.1,2.4,1.5,7.4,18.4,5,3.1,8.1,0.161,2.4,1.2,3.6,3.4,1.94,4.92,2.85,2.05,1.274,31.58441558,2.090909091
