,Player,Pos,Age,Tm,G,MP,GS,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS.,X3PAr,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,Fast.Break.Pts,Points.In.Paint,Points.off.TO,X2nd.Chance.PTS,Points.scored.per.shot,MPG,A2TO
183,Isaiah Whitehead,PG,22,BRK,16,180,0,8,17.2,0.465,1.4,3.6,0.389,6.6,13.6,0.485,2.6,3.8,0.684,0.8,4.4,5.2,4,1.6,0.4,4.8,4.6,20,11.5,0.53,0.209,0.221,2.3,13.1,7.7,19.6,2.2,0.8,20.3,28.5,-0.3,0.2,-0.1,-0.035,-4.3,-1.3,-5.6,-0.2,0.44,3.75,0.19,0.69,1.163,11.25,0.833333333
184,Ish Smith,PG,29,DET,82,2043,35,6.9,14.1,0.486,0.6,1.8,0.347,6.2,12.3,0.506,1.4,2,0.698,0.5,3.5,3.9,6.3,1.1,0.4,1.9,2.5,15.8,15.4,0.525,0.126,0.145,1.4,10.9,6.1,28.4,1.6,0.9,11.2,20.8,2.4,2,4.4,0.102,-0.6,-0.6,-1.2,0.4,1.43,6.09,1.62,0.57,1.089,24.91463415,3.315789474
185,Ivan Rabb,PF,20,MEM,36,516,5,6,10.6,0.566,0,0,NA,6,10.6,0.566,2,2.5,0.806,3.7,7.3,11,2.2,0.8,0.9,2.4,3.8,14,16.6,0.599,0,0.237,11.6,24.1,17.7,10.4,1.2,2.4,17.3,17.7,0.7,0.5,1.2,0.109,-1.7,0.3,-1.5,0.1,0.37,2.59,0.44,1.07,1.4,14.33333333,0.916666667
186,Ivica Zubac,C,20,LAL,43,410,0,5.4,10.7,0.5,0,0.1,0,5.4,10.6,0.504,3.4,4.5,0.765,4,6.8,10.8,2.2,0.7,1.3,2.3,4.1,14.1,15.3,0.557,0.008,0.418,11.8,20.1,16,8.8,0.9,3,15.3,17.6,0.5,0.5,1,0.118,-2.7,0.5,-2.2,0,0.21,2.14,0.28,1.1,1.358,9.534883721,0.956521739
187,Jabari Bird,SG,23,BOS,13,115,1,4.7,8.1,0.577,0.9,2.2,0.429,3.8,5.9,0.632,1.9,4.1,0.462,1.9,4.1,5.9,2.5,0.9,0.3,2.5,2.2,12.2,12.1,0.615,0.269,0.5,5.8,12.2,9,10.5,1.3,0.7,20.1,15.4,0.1,0.2,0.2,0.098,-2.3,0.1,-2.1,0,0.5,0.5,0.5,0.25,1.25,8.846153846,1
188,Jabari Parker,PF,22,MIL,31,743,3,7.8,16.1,0.482,1.5,3.9,0.383,6.3,12.2,0.514,1.9,2.6,0.741,2,5.3,7.3,2.9,1.2,0.5,2.2,2.4,18.9,17.1,0.55,0.244,0.163,6.6,17.1,11.9,13.1,1.7,1.2,11.2,24.4,0.6,0.6,1.2,0.08,-0.2,-1.6,-1.8,0,1.06,4.82,1.53,1.18,1.277,23.96774194,1.318181818
189,Jack Cooley,PF,26,SAC,7,87,0,5.4,11.2,0.481,0,0,NA,5.4,11.2,0.481,5.8,7.9,0.737,5.8,6.6,12.4,2.5,0.4,0,1.2,5.4,16.6,19.7,0.566,0,0.704,17.6,21.9,19.6,10.5,0.6,0,7.8,19.8,0.3,0,0.3,0.182,0.9,-2.5,-1.6,0,0,4,1,1,1.429,12.42857143,2.083333333
190,Jacob Pullen,PG,28,PHI,3,6,0,6,12,0.5,0,6,0,6,6,1,0,0,NA,0,0,0,0,0,0,6,0,12,-2.3,0.5,0.5,0,0,0,0,0,0,0,33.3,21.3,0,0,0,-0.21,-10.5,-4.7,-15.2,0,0,0,0.67,0,1,2,0
191,Jacob Wiley,PF,23,BRK,5,33,0,1.1,4.4,0.25,1.1,2.2,0.5,0,2.2,0,1.1,2.2,0.5,2.2,9.8,12,2.2,1.1,0,0,4.4,4.4,8.2,0.41,0.5,0.5,6.4,29.2,17.7,8,1.5,0,0,6.4,0,0,0.1,0.094,-3.9,0.9,-3,0,0,0,0.6,0,1,6.6,Inf
192,Jae Crowder,SF,27,TOT,80,2090,47,4.7,11.6,0.404,1.9,5.9,0.323,2.8,5.7,0.488,2.1,2.5,0.818,1,3.7,4.7,1.7,1.1,0.4,1.3,3.2,13.3,10.4,0.525,0.508,0.221,3.2,11.5,7.4,6.9,1.5,0.9,9.1,17.3,1,1.6,2.6,0.06,-0.8,-0.9,-1.7,0.1,0.9,3.16,1.63,1.16,1.186,26.125,1.307692308
193,Jahlil Okafor,C,22,TOT,28,353,0,7.9,14.1,0.558,0.1,0.4,0.25,7.8,13.7,0.567,2.1,3,0.724,2.1,6.5,8.7,1.2,0.3,1.8,2.1,5.2,17.9,15.3,0.584,0.029,0.21,6.3,19.4,12.8,5.9,0.4,3.9,12.2,21,0.3,0.3,0.6,0.083,-3.7,-0.8,-4.5,-0.2,0.24,4.72,0.64,1.24,1.248,12.60714286,0.571428571
194,JaKarr Sampson,SF,24,SAC,22,344,6,4.6,8.5,0.543,0.5,1,0.5,4.1,7.4,0.549,1,1.7,0.625,2.2,6,8.2,0.9,0.8,2.3,0.8,5,10.8,13.9,0.585,0.123,0.198,6.7,19.7,12.9,3.9,1.2,6.1,8.3,12.5,0.4,0.4,0.8,0.114,-2.6,1.9,-0.7,0.1,0.29,3.14,1.29,1.07,1.476,15.63636364,1.125
195,Jake Layman,SF,23,POR,35,160,1,3.2,10.6,0.298,0.9,4.5,0.2,2.3,6.1,0.37,0.5,0.7,0.667,0.9,2.7,3.6,2.5,1.4,0.9,1.1,2.9,7.7,4.9,0.352,0.426,0.064,2.8,8.1,5.5,9.4,1.9,2,9.4,14.6,-0.3,0.2,-0.1,-0.021,-5.3,0.4,-5,-0.1,0.17,0.41,0.31,0.24,0.682,4.571428571,2.272727273
